,SCORE,Quarter,Time,Clock,Team,Score
0,0 - 0,1,2880.0,12:00,Away,0
0,0 - 0,1,2880.0,12:00,Home,0
1,0 - 2,1,2862.0,11:42,Away,0
1,0 - 2,1,2862.0,11:42,Home,2
2,0 - 2,1,2847.0,11:27,Away,0
2,0 - 2,1,2847.0,11:27,Home,2
3,0 - 2,1,2830.0,11:10,Away,0
3,0 - 2,1,2830.0,11:10,Home,2
4,0 - 2,1,2827.0,11:07,Away,0
4,0 - 2,1,2827.0,11:07,Home,2
5,2 - 2,1,2809.0,10:49,Away,2
5,2 - 2,1,2809.0,10:49,Home,2
6,2 - 4,1,2793.0,10:33,Away,2
6,2 - 4,1,2793.0,10:33,Home,4
7,2 - 4,1,2779.0,10:19,Home,4
7,2 - 4,1,2779.0,10:19,Away,2
8,2 - 4,1,2770.0,10:10,Home,4
8,2 - 4,1,2770.0,10:10,Away,2
9,2 - 4,1,2769.0,10:09,Home,4
9,2 - 4,1,2769.0,10:09,Away,2
10,2 - 4,1,2768.0,10:08,Home,4
10,2 - 4,1,2768.0,10:08,Away,2
11,2 - 4,1,2767.0,10:07,Away,2
11,2 - 4,1,2767.0,10:07,Home,4
12,2 - 6,1,2761.0,10:01,Away,2
12,2 - 6,1,2761.0,10:01,Home,6
13,4 - 6,1,2744.0,09:44,Away,4
13,4 - 6,1,2744.0,09:44,Home,6
14,4 - 8,1,2731.0,09:31,Away,4
14,4 - 8,1,2731.0,09:31,Home,8
15,4 - 8,1,2722.0,09:22,Home,8
15,4 - 8,1,2722.0,09:22,Away,4
16,4 - 8,1,2722.0,09:22,Away,4
16,4 - 8,1,2722.0,09:22,Home,8
17,4 - 8,1,2722.0,09:22,Home,8
17,4 - 8,1,2722.0,09:22,Away,4
18,4 - 10,1,2709.0,09:09,Away,4
18,4 - 10,1,2709.0,09:09,Home,10
19,4 - 10,1,2685.0,08:45,Home,10
19,4 - 10,1,2685.0,08:45,Away,4
20,4 - 10,1,2683.0,08:43,Away,4
20,4 - 10,1,2683.0,08:43,Home,10
21,4 - 10,1,2662.0,08:22,Away,4
21,4 - 10,1,2662.0,08:22,Home,10
22,4 - 10,1,2659.0,08:19,Away,4
22,4 - 10,1,2659.0,08:19,Home,10
23,4 - 10,1,2653.0,08:13,Home,10
23,4 - 10,1,2653.0,08:13,Away,4
24,4 - 10,1,2651.0,08:11,Home,10
24,4 - 10,1,2651.0,08:11,Away,4
25,4 - 10,1,2639.0,07:59,Home,10
25,4 - 10,1,2639.0,07:59,Away,4
26,4 - 10,1,2636.0,07:56,Away,4
26,4 - 10,1,2636.0,07:56,Home,10
27,4 - 10,1,2621.0,07:41,Home,10
27,4 - 10,1,2621.0,07:41,Away,4
28,4 - 10,1,2621.0,07:41,Away,4
28,4 - 10,1,2621.0,07:41,Home,10
29,4 - 10,1,2619.0,07:39,Home,10
29,4 - 10,1,2619.0,07:39,Away,4
30,4 - 12,1,2608.0,07:28,Home,12
30,4 - 12,1,2608.0,07:28,Away,4
31,4 - 12,1,2608.0,07:28,Away,4
31,4 - 12,1,2608.0,07:28,Home,12
32,4 - 12,1,2608.0,07:28,Away,4
32,4 - 12,1,2608.0,07:28,Home,12
33,4 - 12,1,2608.0,07:28,Away,4
33,4 - 12,1,2608.0,07:28,Home,12
34,4 - 12,1,2584.0,07:04,Home,12
34,4 - 12,1,2584.0,07:04,Away,4
35,4 - 12,1,2582.0,07:02,Away,4
35,4 - 12,1,2582.0,07:02,Home,12
36,4 - 14,1,2564.0,06:44,Home,14
36,4 - 14,1,2564.0,06:44,Away,4
37,4 - 14,1,2547.0,06:27,Away,4
37,4 - 14,1,2547.0,06:27,Home,14
38,4 - 14,1,2545.0,06:25,Away,4
38,4 - 14,1,2545.0,06:25,Home,14
39,6 - 14,1,2543.0,06:23,Away,6
39,6 - 14,1,2543.0,06:23,Home,14
40,6 - 14,1,2526.0,06:06,Away,6
40,6 - 14,1,2526.0,06:06,Home,14
41,6 - 14,1,2526.0,06:06,Home,14
41,6 - 14,1,2526.0,06:06,Away,6
42,6 - 14,1,2512.0,05:52,Home,14
42,6 - 14,1,2512.0,05:52,Away,6
43,6 - 14,1,2509.0,05:49,Home,14
43,6 - 14,1,2509.0,05:49,Away,6
44,6 - 14,1,2501.0,05:41,Away,6
44,6 - 14,1,2501.0,05:41,Home,14
45,6 - 14,1,2499.0,05:39,Home,14
45,6 - 14,1,2499.0,05:39,Away,6
46,6 - 14,1,2486.0,05:26,Home,14
46,6 - 14,1,2486.0,05:26,Away,6
47,6 - 14,1,2484.0,05:24,Home,14
47,6 - 14,1,2484.0,05:24,Away,6
48,6 - 17,1,2474.0,05:14,Away,6
48,6 - 17,1,2474.0,05:14,Home,17
49,6 - 17,1,2454.0,04:54,Home,17
49,6 - 17,1,2454.0,04:54,Away,6
50,6 - 17,1,2454.0,04:54,Home,17
50,6 - 17,1,2454.0,04:54,Away,6
51,6 - 17,1,2454.0,04:54,Away,6
51,6 - 17,1,2454.0,04:54,Home,17
52,8 - 17,1,2448.0,04:48,Away,8
52,8 - 17,1,2448.0,04:48,Home,17
53,8 - 17,1,2448.0,04:48,Away,8
53,8 - 17,1,2448.0,04:48,Home,17
54,8 - 17,1,2448.0,04:48,Away,8
54,8 - 17,1,2448.0,04:48,Home,17
55,8 - 17,1,2447.0,04:47,Home,17
