,SCORE,Quarter,Time,Clock,Team,Score
0,0 - 0,1,2880.0,12:00,Away,0
0,0 - 0,1,2880.0,12:00,Home,0
1,2 - 0,1,2863.0,11:43,Away,2
1,2 - 0,1,2863.0,11:43,Home,0
2,2 - 3,1,2847.0,11:27,Away,2
2,2 - 3,1,2847.0,11:27,Home,3
3,2 - 3,1,2828.0,11:08,Away,2
3,2 - 3,1,2828.0,11:08,Home,3
4,2 - 3,1,2826.0,11:06,Away,2
4,2 - 3,1,2826.0,11:06,Home,3
5,2 - 3,1,2823.0,11:03,Away,2
5,2 - 3,1,2823.0,11:03,Home,3
6,2 - 3,1,2823.0,11:03,Away,2
6,2 - 3,1,2823.0,11:03,Home,3
7,2 - 3,1,2823.0,11:03,Home,3
7,2 - 3,1,2823.0,11:03,Away,2
8,2 - 4,1,2823.0,11:03,Home,4
8,2 - 4,1,2823.0,11:03,Away,2
9,2 - 4,1,2811.0,10:51,Home,4
9,2 - 4,1,2811.0,10:51,Away,2
10,2 - 4,1,2809.0,10:49,Home,4
10,2 - 4,1,2809.0,10:49,Away,2
11,2 - 7,1,2797.0,10:37,Away,2
11,2 - 7,1,2797.0,10:37,Home,7
12,2 - 7,1,2787.0,10:27,Away,2
12,2 - 7,1,2787.0,10:27,Home,7
13,2 - 7,1,2785.0,10:25,Away,2
13,2 - 7,1,2785.0,10:25,Home,7
14,2 - 7,1,2769.0,10:09,Away,2
14,2 - 7,1,2769.0,10:09,Home,7
15,2 - 7,1,2768.0,10:08,Home,7
15,2 - 7,1,2768.0,10:08,Away,2
16,2 - 10,1,2763.0,10:03,Away,2
16,2 - 10,1,2763.0,10:03,Home,10
17,4 - 10,1,2738.0,09:38,Home,10
17,4 - 10,1,2738.0,09:38,Away,4
18,4 - 10,1,2722.0,09:22,Away,4
18,4 - 10,1,2722.0,09:22,Home,10
19,4 - 10,1,2711.0,09:11,Home,10
19,4 - 10,1,2711.0,09:11,Away,4
20,4 - 10,1,2709.0,09:09,Away,4
20,4 - 10,1,2709.0,09:09,Home,10
21,4 - 12,1,2702.0,09:02,Away,4
21,4 - 12,1,2702.0,09:02,Home,12
22,4 - 12,1,2693.0,08:53,Away,4
22,4 - 12,1,2693.0,08:53,Home,12
23,4 - 12,1,2691.0,08:51,Home,12
23,4 - 12,1,2691.0,08:51,Away,4
24,4 - 12,1,2685.0,08:45,Home,12
24,4 - 12,1,2685.0,08:45,Away,4
25,4 - 12,1,2685.0,08:45,Home,12
25,4 - 12,1,2685.0,08:45,Away,4
26,4 - 12,1,2685.0,08:45,Away,4
26,4 - 12,1,2685.0,08:45,Home,12
27,7 - 12,1,2677.0,08:37,Home,12
27,7 - 12,1,2677.0,08:37,Away,7
28,7 - 14,1,2657.0,08:17,Away,7
28,7 - 14,1,2657.0,08:17,Home,14
29,7 - 14,1,2649.0,08:09,Home,14
29,7 - 14,1,2649.0,08:09,Away,7
30,7 - 14,1,2646.0,08:06,Home,14
30,7 - 14,1,2646.0,08:06,Away,7
31,7 - 14,1,2645.0,08:05,Away,7
31,7 - 14,1,2645.0,08:05,Home,14
32,7 - 14,1,2637.0,07:57,Away,7
32,7 - 14,1,2637.0,07:57,Home,14
33,7 - 14,1,2634.0,07:54,Away,7
33,7 - 14,1,2634.0,07:54,Home,14
34,7 - 14,1,2630.0,07:50,Home,14
34,7 - 14,1,2630.0,07:50,Away,7
35,7 - 14,1,2626.0,07:46,Away,7
35,7 - 14,1,2626.0,07:46,Home,14
36,7 - 14,1,2617.0,07:37,Home,14
36,7 - 14,1,2617.0,07:37,Away,7
37,7 - 14,1,2615.0,07:35,Away,7
37,7 - 14,1,2615.0,07:35,Home,14
38,7 - 14,1,2602.0,07:22,Away,7
38,7 - 14,1,2602.0,07:22,Home,14
39,7 - 14,1,2602.0,07:22,Away,7
39,7 - 14,1,2602.0,07:22,Home,14
40,7 - 14,1,2602.0,07:22,Away,7
40,7 - 14,1,2602.0,07:22,Home,14
41,7 - 14,1,2583.0,07:03,Home,14
41,7 - 14,1,2583.0,07:03,Away,7
42,7 - 15,1,2583.0,07:03,Home,15
42,7 - 15,1,2583.0,07:03,Away,7
43,7 - 16,1,2583.0,07:03,Home,16
43,7 - 16,1,2583.0,07:03,Away,7
44,7 - 16,1,2573.0,06:53,Away,7
44,7 - 16,1,2573.0,06:53,Home,16
45,7 - 16,1,2571.0,06:51,Home,16
45,7 - 16,1,2571.0,06:51,Away,7
46,7 - 16,1,2562.0,06:42,Home,16
46,7 - 16,1,2562.0,06:42,Away,7
47,7 - 16,1,2562.0,06:42,Home,16
47,7 - 16,1,2562.0,06:42,Away,7
48,9 - 16,1,2556.0,06:36,Away,9
48,9 - 16,1,2556.0,06:36,Home,16
49,9 - 18,1,2533.0,06:13,Home,18
49,9 - 18,1,2533.0,06:13,Away,9
50,9 - 18,1,2521.0,06:01,Home,18
50,9 - 18,1,2521.0,06:01,Away,9
51,9 - 18,1,2517.0,05:57,Away,9
51,9 - 18,1,2517.0,05:57,Home,18
52,9 - 18,1,2504.0,05:44,Away,9
52,9 - 18,1,2504.0,05:44,Home,18
53,9 - 18,1,2504.0,05:44,Away,9
53,9 - 18,1,2504.0,05:44,Home,18
54,9 - 18,1,2504.0,05:44,Away,9
54,9 - 18,1,2504.0,05:44,Home,18
55,9 - 18,1,2504.0,05:44,Home,18
