,SCORE,Quarter,Time,Clock,Team,Score
0,0 - 0,1,2880.0,12:00,Away,0
0,0 - 0,1,2880.0,12:00,Home,0
1,0 - 0,1,2862.0,11:42,Away,0
1,0 - 0,1,2862.0,11:42,Home,0
2,0 - 0,1,2860.0,11:40,Away,0
2,0 - 0,1,2860.0,11:40,Home,0
3,0 - 0,1,2845.0,11:25,Away,0
3,0 - 0,1,2845.0,11:25,Home,0
4,0 - 0,1,2843.0,11:23,Away,0
4,0 - 0,1,2843.0,11:23,Home,0
5,0 - 0,1,2835.0,11:15,Away,0
5,0 - 0,1,2835.0,11:15,Home,0
6,0 - 0,1,2835.0,11:15,Away,0
6,0 - 0,1,2835.0,11:15,Home,0
7,0 - 0,1,2826.0,11:06,Home,0
7,0 - 0,1,2826.0,11:06,Away,0
8,0 - 0,1,2823.0,11:03,Home,0
8,0 - 0,1,2823.0,11:03,Away,0
9,0 - 3,1,2822.0,11:02,Home,3
9,0 - 3,1,2822.0,11:02,Away,0
10,0 - 3,1,2790.0,10:30,Home,3
10,0 - 3,1,2790.0,10:30,Away,0
11,0 - 3,1,2788.0,10:28,Away,0
11,0 - 3,1,2788.0,10:28,Home,3
12,3 - 3,1,2779.0,10:19,Away,3
12,3 - 3,1,2779.0,10:19,Home,3
13,3 - 5,1,2761.0,10:01,Away,3
13,3 - 5,1,2761.0,10:01,Home,5
14,6 - 5,1,2750.0,09:50,Away,6
14,6 - 5,1,2750.0,09:50,Home,5
15,6 - 5,1,2735.0,09:35,Home,5
15,6 - 5,1,2735.0,09:35,Away,6
16,6 - 5,1,2732.0,09:32,Away,6
16,6 - 5,1,2732.0,09:32,Home,5
17,6 - 5,1,2723.0,09:23,Home,5
17,6 - 5,1,2723.0,09:23,Away,6
18,6 - 5,1,2721.0,09:21,Away,6
18,6 - 5,1,2721.0,09:21,Home,5
19,6 - 8,1,2717.0,09:17,Home,8
19,6 - 8,1,2717.0,09:17,Away,6
20,6 - 8,1,2700.0,09:00,Away,6
20,6 - 8,1,2700.0,09:00,Home,8
21,9 - 8,1,2691.0,08:51,Away,9
21,9 - 8,1,2691.0,08:51,Home,8
22,9 - 10,1,2675.0,08:35,Away,9
22,9 - 10,1,2675.0,08:35,Home,10
23,9 - 10,1,2657.0,08:17,Home,10
23,9 - 10,1,2657.0,08:17,Away,9
24,9 - 10,1,2655.0,08:15,Home,10
24,9 - 10,1,2655.0,08:15,Away,9
25,9 - 10,1,2651.0,08:11,Home,10
25,9 - 10,1,2651.0,08:11,Away,9
26,9 - 10,1,2651.0,08:11,Away,9
26,9 - 10,1,2651.0,08:11,Home,10
27,9 - 10,1,2650.0,08:10,Home,10
27,9 - 10,1,2650.0,08:10,Away,9
28,9 - 10,1,2650.0,08:10,Away,9
28,9 - 10,1,2650.0,08:10,Home,10
29,9 - 12,1,2648.0,08:08,Home,12
29,9 - 12,1,2648.0,08:08,Away,9
30,9 - 12,1,2633.0,07:53,Home,12
30,9 - 12,1,2633.0,07:53,Away,9
31,9 - 12,1,2633.0,07:53,Away,9
31,9 - 12,1,2633.0,07:53,Home,12
32,9 - 12,1,2633.0,07:53,Away,9
32,9 - 12,1,2633.0,07:53,Home,12
33,9 - 12,1,2633.0,07:53,Away,9
33,9 - 12,1,2633.0,07:53,Home,12
34,9 - 12,1,2631.0,07:51,Home,12
34,9 - 12,1,2631.0,07:51,Away,9
35,9 - 14,1,2611.0,07:31,Away,9
35,9 - 14,1,2611.0,07:31,Home,14
36,12 - 14,1,2603.0,07:23,Home,14
36,12 - 14,1,2603.0,07:23,Away,12
37,12 - 17,1,2594.0,07:14,Away,12
37,12 - 17,1,2594.0,07:14,Home,17
38,12 - 17,1,2569.0,06:49,Away,12
38,12 - 17,1,2569.0,06:49,Home,17
39,12 - 17,1,2566.0,06:46,Away,12
39,12 - 17,1,2566.0,06:46,Home,17
40,14 - 17,1,2563.0,06:43,Away,14
40,14 - 17,1,2563.0,06:43,Home,17
41,14 - 17,1,2537.0,06:17,Home,17
41,14 - 17,1,2537.0,06:17,Away,14
42,14 - 17,1,2535.0,06:15,Home,17
42,14 - 17,1,2535.0,06:15,Away,14
43,14 - 17,1,2525.0,06:05,Away,14
43,14 - 17,1,2525.0,06:05,Home,17
44,14 - 17,1,2523.0,06:03,Away,14
44,14 - 17,1,2523.0,06:03,Home,17
45,14 - 20,1,2517.0,05:57,Home,20
45,14 - 20,1,2517.0,05:57,Away,14
46,14 - 20,1,2515.0,05:55,Home,20
46,14 - 20,1,2515.0,05:55,Away,14
47,14 - 20,1,2515.0,05:55,Away,14
47,14 - 20,1,2515.0,05:55,Home,20
48,14 - 20,1,2515.0,05:55,Home,20
48,14 - 20,1,2515.0,05:55,Away,14
49,14 - 20,1,2515.0,05:55,Home,20
49,14 - 20,1,2515.0,05:55,Away,14
50,16 - 20,1,2502.0,05:42,Home,20
50,16 - 20,1,2502.0,05:42,Away,16
51,16 - 23,1,2487.0,05:27,Home,23
51,16 - 23,1,2487.0,05:27,Away,16
52,16 - 23,1,2471.0,05:11,Away,16
52,16 - 23,1,2471.0,05:11,Home,23
53,16 - 23,1,2467.0,05:07,Away,16
53,16 - 23,1,2467.0,05:07,Home,23
54,16 - 23,1,2464.0,05:04,Home,23
54,16 - 23,1,2464.0,05:04,Away,16
55,16 - 23,1,2464.0,05:04,Home,23
