,SCORE,Quarter,Time,Clock,Team,Score
0,0 - 0,1,2880.0,12:00,Away,0
0,0 - 0,1,2880.0,12:00,Home,0
1,0 - 2,1,2869.0,11:49,Away,0
1,0 - 2,1,2869.0,11:49,Home,2
2,2 - 2,1,2842.0,11:22,Away,2
2,2 - 2,1,2842.0,11:22,Home,2
3,2 - 2,1,2816.0,10:56,Away,2
3,2 - 2,1,2816.0,10:56,Home,2
4,2 - 2,1,2816.0,10:56,Away,2
4,2 - 2,1,2816.0,10:56,Home,2
5,2 - 2,1,2816.0,10:56,Away,2
5,2 - 2,1,2816.0,10:56,Home,2
6,2 - 3,1,2816.0,10:56,Away,2
6,2 - 3,1,2816.0,10:56,Home,3
7,2 - 3,1,2804.0,10:44,Home,3
7,2 - 3,1,2804.0,10:44,Away,2
8,3 - 3,1,2804.0,10:44,Home,3
8,3 - 3,1,2804.0,10:44,Away,3
9,4 - 3,1,2804.0,10:44,Home,3
9,4 - 3,1,2804.0,10:44,Away,4
10,4 - 3,1,2795.0,10:35,Home,3
10,4 - 3,1,2795.0,10:35,Away,4
11,4 - 3,1,2781.0,10:21,Away,4
11,4 - 3,1,2781.0,10:21,Home,3
12,4 - 3,1,2778.0,10:18,Away,4
12,4 - 3,1,2778.0,10:18,Home,3
13,4 - 6,1,2761.0,10:01,Away,4
13,4 - 6,1,2761.0,10:01,Home,6
14,4 - 6,1,2752.0,09:52,Away,4
14,4 - 6,1,2752.0,09:52,Home,6
15,4 - 6,1,2752.0,09:52,Home,6
15,4 - 6,1,2752.0,09:52,Away,4
16,4 - 6,1,2751.0,09:51,Away,4
16,4 - 6,1,2751.0,09:51,Home,6
17,4 - 6,1,2745.0,09:45,Home,6
17,4 - 6,1,2745.0,09:45,Away,4
18,4 - 6,1,2743.0,09:43,Away,4
18,4 - 6,1,2743.0,09:43,Home,6
19,4 - 6,1,2733.0,09:33,Home,6
19,4 - 6,1,2733.0,09:33,Away,4
20,4 - 6,1,2732.0,09:32,Away,4
20,4 - 6,1,2732.0,09:32,Home,6
21,4 - 8,1,2731.0,09:31,Away,4
21,4 - 8,1,2731.0,09:31,Home,8
22,4 - 8,1,2720.0,09:20,Away,4
22,4 - 8,1,2720.0,09:20,Home,8
23,4 - 8,1,2720.0,09:20,Home,8
23,4 - 8,1,2720.0,09:20,Away,4
24,4 - 11,1,2715.0,09:15,Home,11
24,4 - 11,1,2715.0,09:15,Away,4
25,4 - 11,1,2698.0,08:58,Home,11
25,4 - 11,1,2698.0,08:58,Away,4
26,4 - 11,1,2696.0,08:56,Away,4
26,4 - 11,1,2696.0,08:56,Home,11
27,4 - 11,1,2687.0,08:47,Home,11
27,4 - 11,1,2687.0,08:47,Away,4
28,4 - 11,1,2685.0,08:45,Away,4
28,4 - 11,1,2685.0,08:45,Home,11
29,4 - 11,1,2681.0,08:41,Home,11
29,4 - 11,1,2681.0,08:41,Away,4
30,4 - 11,1,2679.0,08:39,Home,11
30,4 - 11,1,2679.0,08:39,Away,4
31,4 - 11,1,2664.0,08:24,Away,4
31,4 - 11,1,2664.0,08:24,Home,11
32,4 - 11,1,2662.0,08:22,Away,4
32,4 - 11,1,2662.0,08:22,Home,11
33,4 - 11,1,2656.0,08:16,Away,4
33,4 - 11,1,2656.0,08:16,Home,11
34,4 - 11,1,2654.0,08:14,Home,11
34,4 - 11,1,2654.0,08:14,Away,4
35,4 - 11,1,2637.0,07:57,Away,4
35,4 - 11,1,2637.0,07:57,Home,11
36,4 - 11,1,2637.0,07:57,Home,11
36,4 - 11,1,2637.0,07:57,Away,4
37,6 - 11,1,2633.0,07:53,Away,6
37,6 - 11,1,2633.0,07:53,Home,11
38,6 - 11,1,2611.0,07:31,Away,6
38,6 - 11,1,2611.0,07:31,Home,11
39,6 - 11,1,2608.0,07:28,Away,6
39,6 - 11,1,2608.0,07:28,Home,11
40,6 - 11,1,2603.0,07:23,Away,6
40,6 - 11,1,2603.0,07:23,Home,11
41,6 - 12,1,2603.0,07:23,Home,12
41,6 - 12,1,2603.0,07:23,Away,6
42,6 - 12,1,2603.0,07:23,Home,12
42,6 - 12,1,2603.0,07:23,Away,6
43,6 - 12,1,2603.0,07:23,Home,12
43,6 - 12,1,2603.0,07:23,Away,6
44,6 - 12,1,2603.0,07:23,Away,6
44,6 - 12,1,2603.0,07:23,Home,12
45,6 - 12,1,2603.0,07:23,Home,12
45,6 - 12,1,2603.0,07:23,Away,6
46,6 - 12,1,2586.0,07:06,Home,12
46,6 - 12,1,2586.0,07:06,Away,6
47,6 - 12,1,2584.0,07:04,Home,12
47,6 - 12,1,2584.0,07:04,Away,6
48,6 - 12,1,2582.0,07:02,Away,6
48,6 - 12,1,2582.0,07:02,Home,12
49,6 - 12,1,2582.0,07:02,Home,12
49,6 - 12,1,2582.0,07:02,Away,6
50,6 - 12,1,2582.0,07:02,Home,12
50,6 - 12,1,2582.0,07:02,Away,6
51,6 - 12,1,2561.0,06:41,Away,6
51,6 - 12,1,2561.0,06:41,Home,12
52,6 - 12,1,2561.0,06:41,Away,6
52,6 - 12,1,2561.0,06:41,Home,12
53,6 - 12,1,2561.0,06:41,Away,6
53,6 - 12,1,2561.0,06:41,Home,12
54,6 - 12,1,2561.0,06:41,Away,6
54,6 - 12,1,2561.0,06:41,Home,12
55,6 - 12,1,2547.0,06:27,Home,12
