,SCORE,Quarter,Time,Clock,Team,Score
57,10 - 16,1,2473.0,05:13,Away,10
58,10 - 16,1,2470.0,05:10,Home,16
58,10 - 16,1,2470.0,05:10,Away,10
59,10 - 16,1,2453.0,04:53,Home,16
59,10 - 16,1,2453.0,04:53,Away,10
60,10 - 17,1,2453.0,04:53,Home,17
60,10 - 17,1,2453.0,04:53,Away,10
61,10 - 17,1,2453.0,04:53,Home,17
61,10 - 17,1,2453.0,04:53,Away,10
62,10 - 17,1,2453.0,04:53,Away,10
62,10 - 17,1,2453.0,04:53,Home,17
63,10 - 18,1,2453.0,04:53,Away,10
63,10 - 18,1,2453.0,04:53,Home,18
64,12 - 18,1,2430.0,04:30,Home,18
64,12 - 18,1,2430.0,04:30,Away,12
65,12 - 18,1,2420.0,04:20,Away,12
65,12 - 18,1,2420.0,04:20,Home,18
66,12 - 18,1,2420.0,04:20,Away,12
66,12 - 18,1,2420.0,04:20,Home,18
67,12 - 18,1,2415.0,04:15,Home,18
67,12 - 18,1,2415.0,04:15,Away,12
68,14 - 18,1,2403.0,04:03,Away,14
68,14 - 18,1,2403.0,04:03,Home,18
69,14 - 18,1,2379.0,03:39,Home,18
69,14 - 18,1,2379.0,03:39,Away,14
70,14 - 18,1,2377.0,03:37,Home,18
70,14 - 18,1,2377.0,03:37,Away,14
71,14 - 20,1,2371.0,03:31,Home,20
71,14 - 20,1,2371.0,03:31,Away,14
72,14 - 20,1,2357.0,03:17,Home,20
72,14 - 20,1,2357.0,03:17,Away,14
73,14 - 20,1,2357.0,03:17,Home,20
73,14 - 20,1,2357.0,03:17,Away,14
74,14 - 20,1,2351.0,03:11,Away,14
74,14 - 20,1,2351.0,03:11,Home,20
75,14 - 20,1,2349.0,03:09,Home,20
75,14 - 20,1,2349.0,03:09,Away,14
76,14 - 20,1,2346.0,03:06,Home,20
76,14 - 20,1,2346.0,03:06,Away,14
77,15 - 20,1,2346.0,03:06,Away,15
77,15 - 20,1,2346.0,03:06,Home,20
78,15 - 20,1,2346.0,03:06,Away,15
78,15 - 20,1,2346.0,03:06,Home,20
79,15 - 20,1,2346.0,03:06,Home,20
79,15 - 20,1,2346.0,03:06,Away,15
80,16 - 20,1,2346.0,03:06,Home,20
80,16 - 20,1,2346.0,03:06,Away,16
81,16 - 22,1,2333.0,02:53,Away,16
81,16 - 22,1,2333.0,02:53,Home,22
82,16 - 22,1,2311.0,02:31,Home,22
82,16 - 22,1,2311.0,02:31,Away,16
83,16 - 22,1,2309.0,02:29,Away,16
83,16 - 22,1,2309.0,02:29,Home,22
84,18 - 22,1,2308.0,02:28,Away,18
84,18 - 22,1,2308.0,02:28,Home,22
85,18 - 22,1,2289.0,02:09,Home,22
85,18 - 22,1,2289.0,02:09,Away,18
86,18 - 22,1,2289.0,02:09,Home,22
86,18 - 22,1,2289.0,02:09,Away,18
87,18 - 22,1,2289.0,02:09,Away,18
87,18 - 22,1,2289.0,02:09,Home,22
88,18 - 22,1,2289.0,02:09,Home,22
88,18 - 22,1,2289.0,02:09,Away,18
89,18 - 22,1,2281.0,02:01,Away,18
89,18 - 22,1,2281.0,02:01,Home,22
90,18 - 22,1,2278.0,01:58,Away,18
90,18 - 22,1,2278.0,01:58,Home,22
91,18 - 22,1,2259.0,01:39,Away,18
91,18 - 22,1,2259.0,01:39,Home,22
92,18 - 22,1,2256.0,01:36,Away,18
92,18 - 22,1,2256.0,01:36,Home,22
93,18 - 22,1,2249.0,01:29,Home,22
93,18 - 22,1,2249.0,01:29,Away,18
94,21 - 22,1,2240.0,01:20,Home,22
94,21 - 22,1,2240.0,01:20,Away,21
95,21 - 22,1,2226.0,01:06,Home,22
95,21 - 22,1,2226.0,01:06,Away,21
96,21 - 22,1,2223.0,01:03,Home,22
96,21 - 22,1,2223.0,01:03,Away,21
97,24 - 22,1,2216.3,56.3,Home,22
97,24 - 22,1,2216.3,56.3,Away,24
98,24 - 22,1,2193.8,33.8,Home,22
98,24 - 22,1,2193.8,33.8,Away,24
99,24 - 22,1,2193.8,33.8,Home,22
99,24 - 22,1,2193.8,33.8,Away,24
100,24 - 22,1,2191.2,31.2,Away,24
100,24 - 22,1,2191.2,31.2,Home,22
101,24 - 22,1,2190.7,30.7,Away,24
101,24 - 22,1,2190.7,30.7,Home,22
102,24 - 22,1,2190.7,30.7,Away,24
102,24 - 22,1,2190.7,30.7,Home,22
103,24 - 22,1,2189.3,29.3,Home,22
103,24 - 22,1,2189.3,29.3,Away,24
104,27 - 22,1,2183.0,23.0,Away,27
104,27 - 22,1,2183.0,23.0,Home,22
105,27 - 22,1,2164.9,4.9,Away,27
105,27 - 22,1,2164.9,4.9,Home,22
106,27 - 22,1,2161.6,1.6,Away,27
106,27 - 22,1,2161.6,1.6,Home,22
107,27 - 22,1,2160.0,0.0,Away,27
107,27 - 22,1,2160.0,0.0,Home,22
108,27 - 22,1,2160.0,0.0,Away,27
108,27 - 22,1,2160.0,0.0,Home,22
109,27 - 22,2,2864.0,11:44,Away,27
109,27 - 22,2,2864.0,11:44,Home,22
110,27 - 22,2,2136.0,11:36,Away,27
110,27 - 22,2,2136.0,11:36,Home,22
111,27 - 22,2,2136.0,11:36,Home,22
111,27 - 22,2,2136.0,11:36,Away,27
112,27 - 22,2,2134.0,11:34,Home,22
112,27 - 22,2,2134.0,11:34,Away,27
113,30 - 22,2,2133.0,11:33,Home,22
113,30 - 22,2,2133.0,11:33,Away,30
114,30 - 22,2,2117.0,11:17,Home,22
114,30 - 22,2,2117.0,11:17,Away,30
115,30 - 22,2,2115.0,11:15,Home,22
115,30 - 22,2,2115.0,11:15,Away,30
116,32 - 22,2,2111.0,11:11,Home,22
116,32 - 22,2,2111.0,11:11,Away,32
117,32 - 22,2,2110.0,11:10,Home,22
117,32 - 22,2,2110.0,11:10,Away,32
118,32 - 22,2,2110.0,11:10,Away,32
118,32 - 22,2,2110.0,11:10,Home,22
119,32 - 22,2,2110.0,11:10,Home,22
119,32 - 22,2,2110.0,11:10,Away,32
120,32 - 22,2,2096.0,10:56,Away,32
120,32 - 22,2,2096.0,10:56,Home,22
121,32 - 22,2,2091.0,10:51,Home,22
121,32 - 22,2,2091.0,10:51,Away,32
122,32 - 22,2,2075.0,10:35,Home,22
122,32 - 22,2,2075.0,10:35,Away,32
123,32 - 22,2,2073.0,10:33,Home,22
123,32 - 22,2,2073.0,10:33,Away,32
124,35 - 22,2,2071.0,10:31,Home,22
124,35 - 22,2,2071.0,10:31,Away,35
125,35 - 22,2,2057.0,10:17,Home,22
125,35 - 22,2,2057.0,10:17,Away,35
126,35 - 22,2,2057.0,10:17,Home,22
126,35 - 22,2,2057.0,10:17,Away,35
127,37 - 22,2,2053.0,10:13,Away,37
127,37 - 22,2,2053.0,10:13,Home,22
128,37 - 22,2,2053.0,10:13,Away,37
128,37 - 22,2,2053.0,10:13,Home,22
129,37 - 22,2,2053.0,10:13,Away,37
129,37 - 22,2,2053.0,10:13,Home,22
130,37 - 25,2,2039.0,09:59,Away,37
130,37 - 25,2,2039.0,09:59,Home,25
131,37 - 25,2,2022.0,09:42,Away,37
131,37 - 25,2,2022.0,09:42,Home,25
132,37 - 25,2,2020.0,09:40,Away,37
132,37 - 25,2,2020.0,09:40,Home,25
133,37 - 25,2,2003.0,09:23,Away,37
133,37 - 25,2,2003.0,09:23,Home,25
134,37 - 25,2,2000.0,09:20,Away,37
134,37 - 25,2,2000.0,09:20,Home,25
135,37 - 25,2,1997.0,09:17,Away,37
135,37 - 25,2,1997.0,09:17,Home,25
136,37 - 25,2,1997.0,09:17,Away,37
136,37 - 25,2,1997.0,09:17,Home,25
137,37 - 25,2,1991.0,09:11,Away,37
137,37 - 25,2,1991.0,09:11,Home,25
138,37 - 27,2,1987.0,09:07,Home,27
138,37 - 27,2,1987.0,09:07,Away,37
139,37 - 27,2,1974.0,08:54,Away,37
139,37 - 27,2,1974.0,08:54,Home,27
140,37 - 27,2,1974.0,08:54,Away,37
140,37 - 27,2,1974.0,08:54,Home,27
141,37 - 27,2,1974.0,08:54,Away,37
141,37 - 27,2,1974.0,08:54,Home,27
142,37 - 27,2,1963.0,08:43,Home,27
142,37 - 27,2,1963.0,08:43,Away,37
143,37 - 27,2,1959.0,08:39,Away,37
143,37 - 27,2,1959.0,08:39,Home,27
144,37 - 27,2,1957.0,08:37,Away,37
144,37 - 27,2,1957.0,08:37,Home,27
145,37 - 27,2,1955.0,08:35,Away,37
145,37 - 27,2,1955.0,08:35,Home,27
146,37 - 27,2,1944.0,08:24,Home,27
146,37 - 27,2,1944.0,08:24,Away,37
147,37 - 27,2,1944.0,08:24,Home,27
147,37 - 27,2,1944.0,08:24,Away,37
148,37 - 27,2,1938.0,08:18,Away,37
148,37 - 27,2,1938.0,08:18,Home,27
149,37 - 27,2,1935.0,08:15,Home,27
149,37 - 27,2,1935.0,08:15,Away,37
150,37 - 27,2,1929.0,08:09,Away,37
150,37 - 27,2,1929.0,08:09,Home,27
151,37 - 27,2,1929.0,08:09,Home,27
151,37 - 27,2,1929.0,08:09,Away,37
152,37 - 27,2,1927.0,08:07,Home,27
152,37 - 27,2,1927.0,08:07,Away,37
153,37 - 29,2,1923.0,08:03,Home,29
153,37 - 29,2,1923.0,08:03,Away,37
154,37 - 29,2,1922.0,08:02,Home,29
154,37 - 29,2,1922.0,08:02,Away,37
155,37 - 29,2,1922.0,08:02,Home,29
155,37 - 29,2,1922.0,08:02,Away,37
156,39 - 29,2,1908.0,07:48,Home,29
156,39 - 29,2,1908.0,07:48,Away,39
157,39 - 29,2,1882.0,07:22,Home,29
157,39 - 29,2,1882.0,07:22,Away,39
158,39 - 29,2,1871.0,07:11,Home,29
158,39 - 29,2,1871.0,07:11,Away,39
159,39 - 29,2,1868.0,07:08,Home,29
159,39 - 29,2,1868.0,07:08,Away,39
160,39 - 29,2,1856.0,06:56,Away,39
160,39 - 29,2,1856.0,06:56,Home,29
161,39 - 29,2,1854.0,06:54,Away,39
161,39 - 29,2,1854.0,06:54,Home,29
162,39 - 29,2,1854.0,06:54,Away,39
162,39 - 29,2,1854.0,06:54,Home,29
163,39 - 31,2,1844.0,06:44,Away,39
163,39 - 31,2,1844.0,06:44,Home,31
164,42 - 31,2,1827.0,06:27,Away,42
164,42 - 31,2,1827.0,06:27,Home,31
165,42 - 31,2,1809.0,06:09,Away,42
165,42 - 31,2,1809.0,06:09,Home,31
166,42 - 31,2,1809.0,06:09,Away,42
166,42 - 31,2,1809.0,06:09,Home,31
167,42 - 31,2,1805.0,06:05,Away,42
167,42 - 31,2,1805.0,06:05,Home,31
168,42 - 31,2,1805.0,06:05,Home,31
168,42 - 31,2,1805.0,06:05,Away,42
169,42 - 31,2,1804.0,06:04,Home,31
169,42 - 31,2,1804.0,06:04,Away,42
170,42 - 31,2,1801.0,06:01,Home,31
170,42 - 31,2,1801.0,06:01,Away,42
171,42 - 31,2,1799.0,05:59,Away,42
171,42 - 31,2,1799.0,05:59,Home,31
172,42 - 31,2,1799.0,05:59,Away,42
172,42 - 31,2,1799.0,05:59,Home,31
173,42 - 31,2,1797.0,05:57,Away,42
173,42 - 31,2,1797.0,05:57,Home,31
174,42 - 31,2,1783.0,05:43,Away,42
174,42 - 31,2,1783.0,05:43,Home,31
175,42 - 31,2,1783.0,05:43,Away,42
175,42 - 31,2,1783.0,05:43,Home,31
176,42 - 31,2,1781.0,05:41,Away,42
176,42 - 31,2,1781.0,05:41,Home,31
177,44 - 31,2,1775.0,05:35,Away,44
177,44 - 31,2,1775.0,05:35,Home,31
178,44 - 31,2,1761.0,05:21,Away,44
178,44 - 31,2,1761.0,05:21,Home,31
179,44 - 31,2,1761.0,05:21,Away,44
179,44 - 31,2,1761.0,05:21,Home,31
180,44 - 31,2,1757.0,05:17,Away,44
180,44 - 31,2,1757.0,05:17,Home,31
181,44 - 33,2,1742.0,05:02,Home,33
181,44 - 33,2,1742.0,05:02,Away,44
182,44 - 33,2,1727.0,04:47,Home,33
182,44 - 33,2,1727.0,04:47,Away,44
183,44 - 33,2,1725.0,04:45,Away,44
183,44 - 33,2,1725.0,04:45,Home,33
184,47 - 33,2,1716.0,04:36,Away,47
184,47 - 33,2,1716.0,04:36,Home,33
185,47 - 33,2,1702.0,04:22,Home,33
185,47 - 33,2,1702.0,04:22,Away,47
186,47 - 33,2,1702.0,04:22,Away,47
186,47 - 33,2,1702.0,04:22,Home,33
187,47 - 33,2,1702.0,04:22,Away,47
187,47 - 33,2,1702.0,04:22,Home,33
188,47 - 33,2,1702.0,04:22,Home,33
188,47 - 33,2,1702.0,04:22,Away,47
189,47 - 33,2,1702.0,04:22,Home,33
189,47 - 33,2,1702.0,04:22,Away,47
190,47 - 33,2,1690.0,04:10,Home,33
190,47 - 33,2,1690.0,04:10,Away,47
191,47 - 33,2,1686.0,04:06,Away,47
191,47 - 33,2,1686.0,04:06,Home,33
192,47 - 33,2,1671.0,03:51,Away,47
192,47 - 33,2,1671.0,03:51,Home,33
193,47 - 33,2,1671.0,03:51,Home,33
193,47 - 33,2,1671.0,03:51,Away,47
194,47 - 33,2,1666.0,03:46,Away,47
194,47 - 33,2,1666.0,03:46,Home,33
195,47 - 33,2,1664.0,03:44,Home,33
195,47 - 33,2,1664.0,03:44,Away,47
196,47 - 33,2,1652.0,03:32,Away,47
196,47 - 33,2,1652.0,03:32,Home,33
197,47 - 33,2,1649.0,03:29,Away,47
197,47 - 33,2,1649.0,03:29,Home,33
198,47 - 33,2,1645.0,03:25,Away,47
198,47 - 33,2,1645.0,03:25,Home,33
199,47 - 33,2,1643.0,03:23,Away,47
199,47 - 33,2,1643.0,03:23,Home,33
200,49 - 33,2,1631.0,03:11,Home,33
200,49 - 33,2,1631.0,03:11,Away,49
201,49 - 33,2,1613.0,02:53,Home,33
201,49 - 33,2,1613.0,02:53,Away,49
202,49 - 33,2,1613.0,02:53,Home,33
202,49 - 33,2,1613.0,02:53,Away,49
203,51 - 33,2,1599.0,02:39,Away,51
203,51 - 33,2,1599.0,02:39,Home,33
204,51 - 33,2,1599.0,02:39,Away,51
204,51 - 33,2,1599.0,02:39,Home,33
205,51 - 33,2,1599.0,02:39,Away,51
205,51 - 33,2,1599.0,02:39,Home,33
206,51 - 33,2,1599.0,02:39,Home,33
206,51 - 33,2,1599.0,02:39,Away,51
207,51 - 33,2,1585.0,02:25,Away,51
207,51 - 33,2,1585.0,02:25,Home,33
208,51 - 33,2,1585.0,02:25,Home,33
208,51 - 33,2,1585.0,02:25,Away,51
209,54 - 33,2,1569.0,02:09,Home,33
209,54 - 33,2,1569.0,02:09,Away,54
210,54 - 35,2,1558.0,01:58,Home,35
210,54 - 35,2,1558.0,01:58,Away,54
211,54 - 35,2,1547.0,01:47,Home,35
211,54 - 35,2,1547.0,01:47,Away,54
212,54 - 35,2,1547.0,01:47,Away,54
212,54 - 35,2,1547.0,01:47,Home,35
213,54 - 35,2,1546.0,01:46,Home,35
213,54 - 35,2,1546.0,01:46,Away,54
