,SCORE,Quarter,Time,Clock,Team,Score
0,0 - 0,1,2880.0,12:00,Away,0
0,0 - 0,1,2880.0,12:00,Home,0
1,0 - 0,1,2867.0,11:47,Away,0
1,0 - 0,1,2867.0,11:47,Home,0
2,0 - 0,1,2856.0,11:36,Away,0
2,0 - 0,1,2856.0,11:36,Home,0
3,0 - 3,1,2845.0,11:25,Away,0
3,0 - 3,1,2845.0,11:25,Home,3
4,3 - 3,1,2836.0,11:16,Away,3
4,3 - 3,1,2836.0,11:16,Home,3
5,3 - 3,1,2831.0,11:11,Away,3
5,3 - 3,1,2831.0,11:11,Home,3
6,3 - 3,1,2831.0,11:11,Away,3
6,3 - 3,1,2831.0,11:11,Home,3
7,3 - 3,1,2830.0,11:10,Home,3
7,3 - 3,1,2830.0,11:10,Away,3
8,5 - 3,1,2817.0,10:57,Home,3
8,5 - 3,1,2817.0,10:57,Away,5
9,5 - 3,1,2806.0,10:46,Home,3
9,5 - 3,1,2806.0,10:46,Away,5
10,5 - 3,1,2804.0,10:44,Home,3
10,5 - 3,1,2804.0,10:44,Away,5
11,8 - 3,1,2799.0,10:39,Away,8
11,8 - 3,1,2799.0,10:39,Home,3
12,8 - 5,1,2785.0,10:25,Away,8
12,8 - 5,1,2785.0,10:25,Home,5
13,10 - 5,1,2769.0,10:09,Away,10
13,10 - 5,1,2769.0,10:09,Home,5
14,10 - 5,1,2751.0,09:51,Away,10
14,10 - 5,1,2751.0,09:51,Home,5
15,12 - 5,1,2736.0,09:36,Home,5
15,12 - 5,1,2736.0,09:36,Away,12
16,12 - 5,1,2736.0,09:36,Away,12
16,12 - 5,1,2736.0,09:36,Home,5
17,13 - 5,1,2736.0,09:36,Home,5
17,13 - 5,1,2736.0,09:36,Away,13
18,13 - 5,1,2723.0,09:23,Away,13
18,13 - 5,1,2723.0,09:23,Home,5
19,13 - 5,1,2723.0,09:23,Home,5
19,13 - 5,1,2723.0,09:23,Away,13
20,13 - 5,1,2720.0,09:20,Away,13
20,13 - 5,1,2720.0,09:20,Home,5
21,13 - 5,1,2718.0,09:18,Away,13
21,13 - 5,1,2718.0,09:18,Home,5
22,13 - 5,1,2717.0,09:17,Away,13
22,13 - 5,1,2717.0,09:17,Home,5
23,13 - 5,1,2705.0,09:05,Home,5
23,13 - 5,1,2705.0,09:05,Away,13
24,13 - 5,1,2705.0,09:05,Home,5
24,13 - 5,1,2705.0,09:05,Away,13
25,13 - 5,1,2702.0,09:02,Home,5
25,13 - 5,1,2702.0,09:02,Away,13
26,13 - 5,1,2699.0,08:59,Away,13
26,13 - 5,1,2699.0,08:59,Home,5
27,13 - 5,1,2697.0,08:57,Home,5
27,13 - 5,1,2697.0,08:57,Away,13
28,13 - 7,1,2683.0,08:43,Away,13
28,13 - 7,1,2683.0,08:43,Home,7
29,13 - 7,1,2667.0,08:27,Home,7
29,13 - 7,1,2667.0,08:27,Away,13
30,13 - 7,1,2667.0,08:27,Home,7
30,13 - 7,1,2667.0,08:27,Away,13
31,13 - 7,1,2664.0,08:24,Away,13
31,13 - 7,1,2664.0,08:24,Home,7
32,13 - 7,1,2663.0,08:23,Away,13
32,13 - 7,1,2663.0,08:23,Home,7
33,13 - 7,1,2661.0,08:21,Away,13
33,13 - 7,1,2661.0,08:21,Home,7
34,13 - 7,1,2646.0,08:06,Home,7
34,13 - 7,1,2646.0,08:06,Away,13
35,13 - 7,1,2643.0,08:03,Away,13
35,13 - 7,1,2643.0,08:03,Home,7
36,13 - 9,1,2624.0,07:44,Home,9
36,13 - 9,1,2624.0,07:44,Away,13
37,13 - 9,1,2600.0,07:20,Away,13
37,13 - 9,1,2600.0,07:20,Home,9
38,13 - 9,1,2598.0,07:18,Away,13
38,13 - 9,1,2598.0,07:18,Home,9
39,13 - 9,1,2598.0,07:18,Away,13
39,13 - 9,1,2598.0,07:18,Home,9
40,13 - 9,1,2598.0,07:18,Away,13
40,13 - 9,1,2598.0,07:18,Home,9
41,16 - 9,1,2593.0,07:13,Home,9
41,16 - 9,1,2593.0,07:13,Away,16
42,16 - 11,1,2582.0,07:02,Home,11
42,16 - 11,1,2582.0,07:02,Away,16
43,16 - 11,1,2582.0,07:02,Home,11
43,16 - 11,1,2582.0,07:02,Away,16
44,16 - 11,1,2582.0,07:02,Away,16
44,16 - 11,1,2582.0,07:02,Home,11
45,16 - 11,1,2581.0,07:01,Home,11
45,16 - 11,1,2581.0,07:01,Away,16
46,16 - 11,1,2581.0,07:01,Home,11
46,16 - 11,1,2581.0,07:01,Away,16
47,16 - 11,1,2567.0,06:47,Home,11
47,16 - 11,1,2567.0,06:47,Away,16
48,16 - 11,1,2567.0,06:47,Away,16
48,16 - 11,1,2567.0,06:47,Home,11
49,16 - 11,1,2567.0,06:47,Home,11
49,16 - 11,1,2567.0,06:47,Away,16
50,16 - 11,1,2567.0,06:47,Home,11
50,16 - 11,1,2567.0,06:47,Away,16
51,16 - 11,1,2564.0,06:44,Away,16
51,16 - 11,1,2564.0,06:44,Home,11
52,16 - 11,1,2562.0,06:42,Away,16
52,16 - 11,1,2562.0,06:42,Home,11
53,16 - 11,1,2545.0,06:25,Away,16
53,16 - 11,1,2545.0,06:25,Home,11
54,16 - 11,1,2542.0,06:22,Away,16
54,16 - 11,1,2542.0,06:22,Home,11
55,16 - 11,1,2532.0,06:12,Home,11
